証券コード	業種	会社名	平均年収	従業員数	平均年齢	平均勤続年数	情報公開日
1301	水産・農林業	極洋	"5,974,259 "	624 	39.1 	15.4 	2010/6/25
1331	上場廃止	ニチロ	"5,851,000 "	"1,493 "	36.2 	12.1 	2007/6/28
1332	水産・農林業	日本水産	"7,451,726 "	"2,601 "	41.2 	15.4 	2010/6/25
1333	上場廃止	マルハ	"6,225,399 "	"1,100 "	40.4 	16.8 	2004/6/29
1334	水産・農林業	マルハニチロホールディングス	"7,177,275 "	147 	41.4 	16.3 	2010/6/25
1352	卸売業	ホウスイ	"5,546,199 "	167 	41.0 	16.8 	2010/6/24
1376	水産・農林業	カネコ種苗	"5,083,618 "	670 	41.6 	13.8 	2009/8/28
1377	水産・農林業	サカタのタネ	"5,766,000 "	778 	37.0 	13.7 	2009/8/28
1378	水産・農林業	雪国まいたけ	"3,676,794 "	"1,309 "	39.8 	9.5 	2010/6/30
1379	水産・農林業	ホクト	"5,324,054 "	"2,565 "	33.5 	7.4 	2010/6/29
1380	水産・農林業	秋川牧園	"4,356,000 "	79 	40.8 	9.0 	2010/6/28
1381	水産・農林業	アクシーズ	"4,188,241 "	99 	40.6 	12.7 	2009/9/24
1382	水産・農林業	ホーブ	"4,604,772 "	80 	36.2 	6.0 	2009/9/25
1400	建設業	ルーデン・ホールディングス	"4,520,838 "	51 	36.4 	4.0 	2010/3/24
1401	建設業	エムビーエス	"4,138,000 "	47 	32.3 	3.2 	2009/8/28
1405	建設業	サーラ住宅	"5,440,748 "	257 	37.0 	11.3 	2010/1/25
1407	建設業	ウエストホールディングス	"4,512,004 "	73 	40.5 	6.3 	2009/11/27
1408	建設業	サムシングホールディングス	"5,683,000 "	18 	38.2 	1.9 	2009/11/30
1413	建設業	桧家住宅	"3,989,283 "	267 	38.5 	3.7 	2010/3/29
1414	建設業	ショーボンドホールディングス	"12,291,000 "	2 	55.0 	27.0 	2009/9/30
1491	非鉄金属	中外鉱業	"4,135,923 "	91 	32.4 	7.3 	2010/6/29
1503	上場廃止	住友石炭鉱業	"5,483,947 "	110 	44.5 	12.4 	2008/6/27
1514	鉱業	住石ホールディングス					2010/6/29
1515	鉱業	日鉄鉱業	"5,797,358 "	664 	40.9 	17.3 	2010/6/29
1518	鉱業	三井松島産業	"8,624,000 "	73 	43.0 	13.1 	2010/6/25
1601	上場廃止	帝国石油	"7,477,311 "	701 	39.9 	18.8 	2006/6/29
1604	上場廃止	国際石油開発	"8,945,224 "	357 	38.1 	9.5 	2006/6/28
1605	鉱業	国際石油開発帝石	"8,821,581 "	"1,328 "	39.0 	15.9 	2010/6/24
1606	鉱業	日本海洋掘削	"8,952,000 "	396 	39.9 	13.4 	2010/6/25
